date,nifty_close,india_vix,nifty_bank_close,nifty_it_close,nifty_pharma_close,nifty_auto_close,fii_net,dii_net,pcr,flow_div_raw,flow_div_pct,pcr_dev_raw,pcr_dev_pct,realized_vol,vol_spread_raw,vol_spread_pct
2015-02-11,8627.400390625,20.5,18940.580078125,12243.400390625,11391.7001953125,8514.150390625,-272.67,145.38,0.8345,-418.05,,0.0,,0.17631327931309326,0.028686720686906725,
2015-02-12,8711.5498046875,20.15999984741211,19128.376953125,12372.0,11598.25,8654.2998046875,60.61,-78.31,0.8525,138.92000000000002,,0.0,,0.1763051376940276,0.025294860780093492,
2015-02-13,8805.5,20.100000381469727,19369.474609375,12464.9501953125,11789.900390625,8759.0,390.26,95.82,0.9312,294.44,,0.0,,0.16449102862453102,0.03650897519016624,
2015-02-16,8809.349609375,20.829999923706055,19189.7265625,12487.2001953125,11680.25,8792.5498046875,-182.8,280.77,0.9001,-463.57,,0.0,,0.16462903569539064,0.04367096354166991,
2015-02-18,8869.099609375,20.90999984741211,19296.275390625,12632.75,11741.25,8884.849609375,2187.96,327.87,0.9191,1860.0900000000001,,0.0,,0.16376103619120946,0.04533896228291162,
2015-02-19,8895.2998046875,20.399999618530273,19188.078125,12723.7998046875,11734.5,8871.650390625,1542.7,-195.74,0.926,1738.44,,0.0,,0.16226009507929154,0.041739901106011196,
2015-02-20,8833.599609375,21.270000457763672,19073.328125,12571.9501953125,11746.5,8874.650390625,-89.41,204.85,0.8788,-294.26,,0.0,,0.1433131157462932,0.0693868888313435,
2015-02-23,8754.9501953125,21.6299991607666,18913.1796875,12531.2998046875,11640.7998046875,8804.150390625,601.91,-163.79,0.8052,765.6999999999999,,0.0,,0.14842357087111654,0.06787642073654948,
2015-02-24,8762.099609375,21.549999237060547,18883.58203125,12566.2001953125,11663.849609375,8777.7001953125,697.28,-146.98,0.8207,844.26,,0.0,,0.14802746380909607,0.0674725285615094,
2015-02-25,8767.25,20.780000686645508,18732.833984375,12633.349609375,11533.5,8781.2998046875,516.06,19.7,0.8273,496.35999999999996,,-0.9998177451960272,,0.13609720542156908,0.071702801444886,
2015-02-26,8683.849609375,20.579999923706055,18537.884765625,12458.5,11412.2998046875,8640.7001953125,2312.15,340.79,0.897,1971.3600000000001,,-0.6164354673429804,,0.1377412410864192,0.06805875815064136,
2015-02-27,8844.599609375,19.56999969482422,19074.328125,12554.9501953125,11554.7998046875,8841.7998046875,1957.1,-491.93,0.8475,2449.0299999999997,,-0.851957582906366,,0.1501442292474798,0.04555576770076239,
2015-03-02,8956.75,15.850000381469727,20007.8671875,12663.7001953125,12024.0498046875,8919.5498046875,-264.35,-137.31,0.8951,-127.04000000000002,,-0.5678390202115674,,0.15390547652758804,0.004594527287109212,
2015-03-03,8996.25,15.489999771118164,19960.966796875,12855.900390625,12166.2001953125,8838.7998046875,772.92,-303.88,0.937,1076.8,,-0.31544649378785405,,0.154607709559088,0.0002922881520936449,
2015-03-09,8756.75,15.8100004196167,19145.328125,12422.25,12676.900390625,8727.0498046875,-394.31,840.35,0.8736,-1234.66,,-0.6072334391738778,,0.18180069125564893,-0.023700687059481945,
2015-03-11,8699.9501953125,15.130000114440918,19043.779296875,12352.349609375,12515.75,8761.5,-449.84,350.31,0.8942,-800.15,,-0.46579598380229603,,0.17427934710295978,-0.022979345958550612,
2015-03-12,8776.0,14.75,19141.626953125,12423.650390625,12663.7001953125,8851.650390625,-611.43,521.11,0.9187,-1132.54,,-0.2964468689422335,,0.17735307979249884,-0.02985307979249885,
2015-03-13,8647.75,14.970000267028809,18779.58203125,12312.150390625,12487.0498046875,8721.75,66.98,-71.55,0.8707,138.53,,-0.5055033051758807,,0.18423223518358645,-0.03453223251329837,
2015-03-16,8633.150390625,15.180000305175781,18837.130859375,12419.0498046875,12480.7001953125,8697.849609375,-762.55,158.65,0.8501,-921.1999999999999,,-0.5683165214639551,,0.18022541235088932,-0.02842540929913151,
2015-03-17,8723.2998046875,15.130000114440918,19058.029296875,12383.150390625,12716.7998046875,8807.400390625,265.52,-243.69,0.8543,509.21,,-0.4942384409702299,,0.17411162125886914,-0.022811620114459974,
2015-03-18,8685.900390625,15.510000228881836,19147.02734375,12276.099609375,12732.400390625,8748.75,-457.43,-882.99,0.8413,425.56,,-0.5286838056464404,,0.17039407314353658,-0.015294070854718206,
2015-03-19,8634.650390625,15.199999809265137,18810.931640625,12275.2001953125,12799.7998046875,8719.5498046875,1428.72,53.46,0.8178,1375.26,,-0.6609111001147616,,0.1680094664288512,-0.016009468336199845,
2015-03-20,8570.900390625,14.260000228881836,18606.1328125,12363.5,12622.25,8585.9501953125,354.59,-219.2,0.8102,573.79,,-0.7836356619889385,,0.1643105554739175,-0.021710553185099152,
2015-03-23,8550.900390625,14.270000457763672,18448.78515625,12244.4501953125,12622.9501953125,8597.7998046875,417.41,403.91,0.7967,13.5,,-1.5335525850008216,,0.1642053163154506,-0.021505311737813892,
2015-03-24,8542.9501953125,13.670000076293945,18331.236328125,12180.0,12853.4501953125,8480.7998046875,737.86,-631.67,0.8315,1369.53,,-0.7332753141861608,,0.1613254805277258,-0.02462547976478635,
2015-03-25,8530.7998046875,13.140000343322754,18309.88671875,12225.599609375,12919.4501953125,8515.650390625,813.19,96.52,0.7976,716.6700000000001,,-1.441008531573075,,0.16033522838099934,-0.028935224947771787,
2015-03-26,8342.150390625,15.15999984741211,17831.443359375,11902.099609375,12676.849609375,8385.349609375,-521.23,687.09,0.8701,-1208.3200000000002,,0.25746580625524756,,0.17517204176973025,-0.023572043295609163,
2015-03-27,8341.400390625,14.5,18044.591796875,11968.5,12588.5498046875,8435.0,-320.52,674.76,0.8295,-995.28,,-0.7128096307016853,,0.17391003518783504,-0.028910035187835054,
2015-03-30,8492.2998046875,14.260000228881836,18361.587890625,12100.849609375,12703.7998046875,8574.4501953125,-240.34,651.67,0.8587,-892.01,,-0.04653108679997275,,0.18815741110935127,-0.04555740882053291,
2015-03-31,8491.0,14.489999771118164,18206.439453125,12083.0,12844.7998046875,8621.75,356.07,283.71,0.8577,72.36000000000001,,-0.09198570664409784,,0.18806342838298837,-0.043163430671806724,
