date,nifty_close,india_vix,nifty_bank_close,nifty_it_close,nifty_pharma_close,nifty_auto_close,fii_net,dii_net,pcr,flow_div_raw,flow_div_pct,pcr_dev_raw,pcr_dev_pct,realized_vol,vol_spread_raw,vol_spread_pct,nifty_return,market_excess,nifty_bank_return,nifty_bank_excess,nifty_bank_beta,nifty_bank_alpha,nifty_bank_expected,nifty_bank_capm_error,nifty_bank_error_sign,nifty_it_return,nifty_it_excess,nifty_it_beta,nifty_it_alpha,nifty_it_expected,nifty_it_capm_error,nifty_it_error_sign,nifty_pharma_return,nifty_pharma_excess,nifty_pharma_beta,nifty_pharma_alpha,nifty_pharma_expected,nifty_pharma_capm_error,nifty_pharma_error_sign,nifty_auto_return,nifty_auto_excess,nifty_auto_beta,nifty_auto_alpha,nifty_auto_expected,nifty_auto_capm_error,nifty_auto_error_sign,n_extreme,anomaly_flag
2015-01-06,8127.35009765625,17.420000076293945,18430.53515625,10959.900390625,10637.7998046875,8248.2001953125,113.47,49.34,0.9496,64.13,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
2015-01-07,8102.10009765625,18.139999389648438,18304.037109375,10916.0,10604.9501953125,8254.7001953125,75.03,52.12,0.9467,22.910000000000004,,0.0,,,,,-0.0031067936900222026,-0.0033567249142998357,-0.0068635037345675665,-0.0071134349588451995,,,,,,-0.004005546497717449,-0.004255477721995082,,,,,,-0.0030880078567115943,-0.0033379390809892273,,,,,,0.0007880507075583854,0.0005381194832807523,,,,,,0,0
2015-01-09,8284.5,15.960000038146973,18637.033203125,11399.650390625,10934.5498046875,8397.0,-675.32,681.93,1.0823,-1357.25,,0.0,,,,,0.02251266957273379,0.022262738348456157,0.01819249446229798,0.017942563238020348,,,,,,0.04430655832035546,0.04405662709607783,,,,,,0.031079788523729945,0.030829857299452312,,,,,,0.017238639965180713,0.01698870874090308,,,,,,0,0
2015-01-12,8323.0,16.110000610351562,18795.630859375,11543.650390625,10976.2001953125,8409.5498046875,-106.78,194.75,1.1427,-301.53,,0.0,,,,,0.004647232784114941,0.004397301559837308,0.008509812399937422,0.008259881175659789,,,,,,0.012631966338057632,0.012382035113779999,,,,,,0.0038090631410490072,0.003559131916771374,,,,,,0.001494558138323221,0.001244626914045588,,,,,,0,0
2015-01-13,8299.400390625,16.479999542236328,18706.982421875,11502.7998046875,10984.2998046875,8398.7998046875,235.09,46.06,1.1145,189.03,,0.0,,,,,-0.002835469106692301,-0.003085400330969934,-0.004716438525700473,-0.004966369749978106,,,,,,-0.003538792717655115,-0.003788723941932748,,,,,,0.0007379247126395594,0.00048799348836192635,,,,,,-0.0012783086193279836,-0.0015282398436056166,,,,,,0,0
2015-01-14,8277.5498046875,17.25,18603.583984375,11614.2998046875,10881.5498046875,8427.7001953125,-69.74,-223.98,1.083,154.24,,0.0,,,,,-0.0026327909136885097,-0.0028827221379661427,-0.005527264374776464,-0.005777195599054097,,,,,,0.009693292232606066,0.009443361008328433,,,,,,-0.009354260337664067,-0.0096041915619417,,,,,,0.0034410143469392196,0.0031910831226615866,,,,,,0,0
2015-01-15,8494.150390625,16.15999984741211,19235.427734375,11669.849609375,10936.2998046875,8614.7001953125,1738.24,-527.27,1.1768,2265.51,,0.0,,,,,0.026167234392820093,0.02591730316854246,0.033963549740237076,0.03371361851595944,,,,,,0.004782880209884155,0.004532948985606522,,,,,,0.005031452410980464,0.004781521186702831,,,,,,0.022188734253267617,0.021938803028989984,,,,,,0,0
2015-01-16,8513.7998046875,17.270000457763672,19222.927734375,11659.599609375,11101.150390625,8623.599609375,1099.93,-716.91,1.2131,1816.8400000000001,,0.0,,,,,0.0023132877520259942,0.002063356527748361,-0.000649842580711768,-0.0008997738049894011,,,,,,-0.0008783317988747541,-0.0011282630231523871,,,,,,0.015073707641668932,0.014823776417391299,,,,,,0.0010330497708257447,0.0007831185465481116,,,,,,0,0
2015-01-19,8550.7001953125,17.649999618530273,19405.826171875,11642.75,11249.2998046875,8694.900390625,433.72,-237.71,1.2478,671.4300000000001,,0.0,,,,,0.004334185847861161,0.0040842546235835275,0.00951459840183122,0.009264667177553587,,,,,,-0.0014451276149698433,-0.0016950588392474764,,,,,,0.013345410957373627,0.013095479733095994,,,,,,0.008268099689193287,0.008018168464915654,,,,,,0,0
2015-01-20,8695.599609375,17.270000457763672,19766.8203125,11695.0,11290.650390625,8760.900390625,1275.59,-761.6,1.3044,2037.19,,0.0,,,,,0.016945912118627948,0.016695980894350315,0.01860235876729588,0.018352427543018246,,,,,,0.004487771359859227,0.004237840135581594,,,,,,0.003675836421416223,0.00342590519713859,,,,,,0.00759065625077926,0.007340725026501627,,,,,,0,0
