date,Close,High,Low,Open,Volume
2015-01-01,11215.7001953125,11235.75,11166.349609375,11214.7998046875,4400
2015-01-02,11372.099609375,11399.099609375,11214.650390625,11214.650390625,0
2015-01-05,11248.5498046875,11433.75,11186.9501953125,11369.349609375,0
2015-01-06,10959.900390625,11186.099609375,10909.0,11186.099609375,0
2015-01-07,10916.0,11042.349609375,10889.5498046875,11013.2001953125,0
2015-01-08,11018.150390625,11058.150390625,10915.0498046875,11031.150390625,0
2015-01-09,11399.650390625,11484.900390625,10932.2001953125,11058.0498046875,24600
2015-01-12,11543.650390625,11565.849609375,11378.7998046875,11456.0,0
2015-01-13,11502.7998046875,11546.599609375,11437.9501953125,11545.25,0
2015-01-14,11614.2998046875,11631.5498046875,11521.0,11561.9501953125,0
2015-01-15,11669.849609375,11774.5,11575.099609375,11672.2998046875,0
2015-01-16,11659.599609375,11708.849609375,11582.849609375,11708.849609375,0
2015-01-19,11642.75,11797.599609375,11629.0498046875,11732.5,0
2015-01-20,11695.0,11721.900390625,11635.7001953125,11681.7998046875,0
2015-01-21,11813.7001953125,11838.2998046875,11659.7001953125,11732.4501953125,0
2015-01-22,11850.849609375,11884.5,11782.9501953125,11832.5498046875,0
2015-01-23,11885.150390625,11921.0,11767.400390625,11877.900390625,31000
2015-01-27,11693.4501953125,11917.25,11679.5498046875,11915.599609375,0
2015-01-28,11809.5498046875,11821.7998046875,11693.7998046875,11712.5498046875,0
2015-01-29,11824.150390625,11861.5,11728.75,11812.349609375,0
2015-01-30,11824.75,12003.349609375,11799.349609375,11998.349609375,19000
2015-02-02,11943.9501953125,11972.599609375,11847.7998046875,11871.349609375,0
2015-02-03,11963.900390625,12000.650390625,11849.0,11963.75,0
2015-02-04,11938.900390625,12027.099609375,11902.349609375,12027.099609375,0
2015-02-05,12165.150390625,12295.349609375,11963.7998046875,11967.75,0
2015-02-06,12267.9501953125,12380.4501953125,12186.9501953125,12190.7001953125,11100
2015-02-09,12249.2998046875,12285.4501953125,12160.900390625,12160.900390625,0
2015-02-10,12162.849609375,12297.75,12129.650390625,12215.2001953125,0
2015-02-11,12243.400390625,12265.7001953125,12149.349609375,12198.4501953125,0
2015-02-12,12372.0,12397.0,12253.0498046875,12277.2001953125,0
2015-02-13,12464.9501953125,12506.7001953125,12353.25,12369.599609375,0
2015-02-16,12487.2001953125,12541.0498046875,12457.650390625,12461.75,11100
2015-02-18,12632.75,12647.7001953125,12442.7001953125,12511.0498046875,0
2015-02-19,12723.7998046875,12737.099609375,12628.75,12629.0498046875,0
2015-02-20,12571.9501953125,12750.0,12550.75,12750.0,11100
2015-02-23,12531.2998046875,12709.900390625,12475.900390625,12607.349609375,0
2015-02-24,12566.2001953125,12644.099609375,12514.650390625,12572.25,0
2015-02-25,12633.349609375,12719.900390625,12600.0498046875,12621.5498046875,0
2015-02-26,12458.5,12633.150390625,12429.5,12623.7998046875,0
2015-02-27,12554.9501953125,12578.099609375,12434.650390625,12511.25,0
2015-03-02,12663.7001953125,12719.0498046875,12586.150390625,12700.599609375,0
2015-03-03,12855.900390625,12871.150390625,12635.5,12687.25,0
2015-03-04,12730.599609375,12908.099609375,12630.5498046875,12885.75,0
2015-03-05,12665.5,12832.2998046875,12615.4501953125,12719.099609375,11000
2015-03-09,12422.25,12599.7998046875,12372.4501953125,12599.7998046875,0
2015-03-10,12405.0498046875,12462.7998046875,12307.099609375,12404.349609375,0
2015-03-11,12352.349609375,12585.5498046875,12298.5,12414.7001953125,0
2015-03-12,12423.650390625,12442.400390625,12329.25,12377.2001953125,0
2015-03-13,12312.150390625,12478.5498046875,12248.4501953125,12478.5498046875,17800
2015-03-16,12419.0498046875,12477.4501953125,12297.2001953125,12308.9501953125,0
2015-03-17,12383.150390625,12498.849609375,12300.849609375,12459.599609375,0
2015-03-18,12276.099609375,12448.4501953125,12256.5498046875,12434.25,0
2015-03-19,12275.2001953125,12356.650390625,12253.099609375,12298.25,0
2015-03-20,12363.5,12392.849609375,12274.349609375,12306.599609375,0
2015-03-23,12244.4501953125,12443.25,12217.75,12364.2998046875,0
2015-03-24,12180.0,12345.0498046875,12154.4501953125,12266.2001953125,0
2015-03-25,12225.599609375,12256.400390625,12135.5,12214.5498046875,0
2015-03-26,11902.099609375,12204.4501953125,11865.849609375,12168.2998046875,0
2015-03-27,11968.5,12146.900390625,11926.9501953125,11978.0498046875,24000
2015-03-30,12100.849609375,12127.599609375,11971.400390625,12010.650390625,0
2015-03-31,12083.0,12206.7998046875,12005.2001953125,12159.0498046875,0
2015-04-01,11952.2001953125,12008.5498046875,11880.150390625,11997.4501953125,21300
2015-04-06,11969.25,11997.2998046875,11872.650390625,11970.2001953125,0
2015-04-07,11989.349609375,12062.25,11881.5,11999.25,0
2015-04-08,12214.2998046875,12249.099609375,12060.25,12072.2001953125,0
2015-04-09,12279.400390625,12323.7001953125,12171.150390625,12296.75,0
2015-04-10,12294.75,12335.75,12244.2001953125,12249.0498046875,16100
2015-04-13,12333.7998046875,12349.4501953125,12222.900390625,12329.099609375,12300
2015-04-15,12154.5498046875,12369.400390625,12121.5498046875,12335.150390625,0
2015-04-16,12059.0,12198.0498046875,11947.0498046875,12187.5498046875,0
2015-04-17,11803.0498046875,11972.349609375,11758.75,11972.349609375,24500
2015-04-20,11562.2001953125,11815.7001953125,11538.849609375,11805.5,0
2015-04-21,11558.400390625,11602.7998046875,11415.0,11472.599609375,0
2015-04-22,11492.0,11552.5,11345.099609375,11552.5,0
2015-04-23,11451.5498046875,11572.0498046875,11410.400390625,11571.0498046875,0
2015-04-24,11132.25,11523.0,11077.2998046875,11474.400390625,32100
2015-04-27,11097.900390625,11170.5,10941.75,11166.400390625,0
2015-04-28,11052.9501953125,11097.2001953125,10979.2001953125,11097.2001953125,0
2015-04-29,11094.400390625,11150.5498046875,10954.0,11039.0,0
2015-04-30,11001.0498046875,11056.5,10916.650390625,11056.5,43600
2015-05-04,11191.4501953125,11217.2001953125,11044.25,11087.5,0
2015-05-05,11170.25,11264.349609375,11115.5,11252.2998046875,0
2015-05-06,10938.849609375,11191.7001953125,10921.75,11186.349609375,0
2015-05-07,11127.75,11172.150390625,10900.900390625,10934.7998046875,0
2015-05-08,11172.0498046875,11268.599609375,11134.2001953125,11209.150390625,13900
2015-05-11,11324.5498046875,11351.0498046875,11184.650390625,11225.150390625,0
2015-05-12,11118.4501953125,11337.7001953125,11101.25,11337.7001953125,0
2015-05-13,11170.5,11225.5498046875,11040.5498046875,11168.7001953125,0
2015-05-14,11093.599609375,11185.599609375,11021.849609375,11185.599609375,0
2015-05-15,11171.900390625,11208.2001953125,11099.2001953125,11109.7001953125,13500
2015-05-18,11279.4501953125,11294.4501953125,11147.150390625,11200.400390625,0
2015-05-19,11372.2001953125,11425.150390625,11260.2001953125,11264.7998046875,0
2015-05-20,11571.7001953125,11583.0498046875,11438.7001953125,11438.7001953125,0
2015-05-21,11618.599609375,11638.099609375,11572.599609375,11589.0,0
2015-05-22,11728.400390625,11745.75,11562.5,11584.7001953125,14300
2015-05-25,11623.349609375,11784.349609375,11602.099609375,11740.75,0
2015-05-26,11581.900390625,11649.7001953125,11562.0498046875,11608.75,0
2015-05-27,11367.5,11481.4501953125,11338.0498046875,11481.4501953125,0
2015-05-28,11450.849609375,11483.75,11321.650390625,11368.0,0
2015-05-29,11575.0498046875,11647.0498046875,11411.150390625,11443.099609375,0
2015-06-01,11525.650390625,11629.5498046875,11496.0498046875,11561.900390625,0
2015-06-02,11347.900390625,11563.9501953125,11326.7001953125,11523.849609375,0
2015-06-03,11361.099609375,11421.5498046875,11299.75,11383.099609375,0
2015-06-04,11379.2001953125,11455.900390625,11331.849609375,11375.849609375,0
2015-06-05,11291.5498046875,11444.0,11282.2998046875,11376.4501953125,0
2015-06-08,11238.599609375,11303.599609375,11196.5,11302.75,0
