date,fii_net,dii_net
2015-10-20,523.69,-354.96
2015-10-21,-48.33,-138.73
2015-10-23,229.18,-155.89
2015-10-26,724.51,-530.78
2015-10-27,9.5,-165.45
2015-10-28,-731.17,160.17
2015-10-29,174.12,-299.2
2015-10-30,-1464.89,1560.11
2015-11-02,-371.27,147.49
2015-11-03,-444.65,-338.96
2015-11-05,169.97,328.57
2015-11-06,-622.89,589.29
2015-11-08,-736.81,130.74
2015-11-09,-754.27,411.43
2015-11-11,-11.93,10.52
2015-11-12,253.73,292.88
2015-11-13,-746.7,70.89
2015-11-16,-1051.26,661.71
2015-11-17,-492.45,783.02
2015-11-18,-768.46,759.26
2015-11-19,-343.18,233.82
2015-11-20,-94.09,610.16
2015-11-23,-35.37,90.28
2015-11-24,-540.12,532.13
2015-11-26,-398.1,948.98
2015-11-27,-519.25,900.48
2015-11-30,-1043.84,601.73
2015-12-01,244.95,-331.18
2015-12-02,-406.28,705.53
2015-12-03,733.09,-381.94
2015-12-05,-1329.43,1331.93
2015-12-06,-670.96,705.58
2015-12-08,-1855.02,1223.8
2015-12-10,317.56,-175.07
2015-12-14,-157.07,386.47
2015-12-15,48.67,273.93
2015-12-16,-503.22,1024.03
2015-12-17,638.01,-366.23
2015-12-18,-6.99,-404.98
2015-12-21,37.37,62.7
2015-12-22,168.73,238.36
2015-12-23,385.82,632.64
2015-12-24,-112.03,8.05
2015-12-28,-302.62,987.82
2015-12-29,8.49,6.44
2015-12-30,152.2,-74.41
2015-12-31,1123.41,-257.67
2016-01-01,228.11,-81.24
2016-01-02,253.88,-535.7
2016-01-03,2912.59,-834.59
2016-01-04,214.01,-519.91
2016-01-06,259.9,-160.49
2016-01-07,-187.51,907.05
2016-01-08,726.22,-413.77
2016-01-09,-301.51,308.16
2016-01-11,-123.96,192.1
2016-01-12,-402.62,237.81
2016-01-13,-75.9,618.79
2016-01-14,-1221.97,1526.22
2016-01-15,-1123.79,688.84
2016-01-18,-1203.84,1122.8
2016-01-19,-857.7,1386.83
2016-01-20,-1324.69,1383.14
2016-01-21,-1747.23,1267.74
2016-01-22,-769.83,915.6
2016-01-25,-91.15,307.89
2016-01-27,-366.93,499.99
2016-01-28,-961.82,394.22
2016-01-29,571.7,240.02
2016-02-02,-113.98,-323.23
2016-02-03,1437.5,-593.67
2016-02-05,434.93,-109.56
2016-02-06,521.85,-576.86
2016-02-08,536.27,-383.23
2016-02-09,231.19,134.88
2016-02-11,-667.37,407.27
2016-02-12,-190.52,-418.58
2016-02-15,-1311.59,1987.45
2016-02-16,-964.19,590.73
2016-02-17,-560.0,384.53
2016-02-18,418.64,712.12
2016-02-19,-191.73,16.53
2016-02-22,-656.93,597.87
2016-02-23,-289.66,257.93
2016-02-24,-730.99,605.88
2016-02-25,-1465.68,806.97
2016-02-26,-695.37,784.14
2016-02-29,-2018.02,1445.25
2016-03-02,-357.13,-144.78
2016-03-03,911.98,-464.75
2016-03-05,-755.28,484.64
2016-03-06,1585.01,-393.21
2016-03-08,578.17,-800.75
2016-03-10,34.22,198.02
2016-03-11,-706.77,534.98
2016-03-14,1035.63,-805.34
2016-03-15,-54.01,-302.31
2016-03-16,625.58,-680.16
2016-03-17,744.49,-168.38
2016-03-18,1712.62,-403.37
2016-03-21,1396.33,-618.77
2016-03-22,1095.44,-930.37
2016-03-23,976.91,-1022.58
2016-03-28,2042.94,-2494.44
2016-03-29,513.45,-556.69
2016-03-30,1442.47,-396.9
2016-03-31,4056.62,-2890.57
2016-04-01,-667.15,-222.79
2016-04-02,-195.92,476.44
2016-04-03,671.57,-533.1
2016-04-04,236.82,-333.74
2016-04-05,-66.45,-78.8
2016-04-07,182.28,377.45
2016-04-08,559.49,-527.11
2016-04-10,344.13,-172.23
2016-04-11,-343.3,1089.86
2016-04-13,644.27,269.89
2016-04-18,977.98,-313.22
2016-04-20,-80.1,-300.09
2016-04-21,805.42,65.72
2016-04-22,191.07,-168.64
2016-04-25,222.34,-747.95
2016-04-26,512.22,21.21
2016-04-27,411.0,-295.07
2016-04-28,120.63,-416.21
2016-04-29,-205.3,28.13
2016-05-01,-352.42,13.19
2016-05-02,-606.83,760.02
2016-05-04,-800.79,55.85
2016-05-05,-388.51,251.79
2016-05-07,265.63,-447.48
2016-05-08,435.63,616.32
2016-05-10,243.0,-349.86
2016-05-12,-317.85,163.64
2016-05-13,1493.88,667.03
2016-05-16,-79.84,-127.91
2016-05-18,-250.7,239.91
2016-05-19,-764.58,1483.65
2016-05-20,-743.86,597.49
2016-05-23,-65.6,-167.77
2016-05-24,-815.53,989.95
2016-05-25,495.08,337.22
2016-05-26,581.29,685.37
2016-05-27,479.89,69.34
2016-05-30,355.54,-211.09
2016-05-31,-114.52,60.28
2016-06-01,-242.48,576.57
2016-06-04,-493.56,258.68
2016-06-05,27.71,179.8
2016-06-06,28.3,-230.63
2016-06-09,1438.72,-268.21
2016-06-10,353.8,-124.45
2016-06-12,161.8,-164.68
2016-06-13,212.24,-597.83
2016-06-14,-113.36,-32.27
2016-06-15,-108.23,234.1
2016-06-16,-156.75,-163.0
2016-06-17,31.96,-26.21
2016-06-20,-537.46,724.06
2016-06-21,484.66,-335.53
2016-06-22,-41.1,361.34
2016-06-23,81.87,203.56
2016-06-24,-629.14,114.94
2016-06-27,-146.11,-147.07
2016-06-28,-190.43,-242.71
2016-06-29,102.91,-20.19
2016-06-30,1107.42,-190.76
2016-07-01,-1051.74,190.86
2016-07-06,499.73,46.33
2016-07-07,-299.51,-159.98
2016-07-09,854.06,-768.55
2016-07-10,56.25,726.8
2016-07-11,311.18,779.86
