date,Close,High,Low,Open,Volume
2015-01-01,18750.23046875,18781.331668407132,18638.63216133925,18727.980728327115,20500
2015-01-02,19057.580078125,19118.62819926039,18751.982054712254,18751.982054712254,0
2015-01-05,19017.1796875,19165.777572328137,18987.478860316773,19154.976916424723,0
2015-01-06,18430.53515625,18874.379591754456,18388.135259878294,18874.379591754456,0
2015-01-07,18304.037109375,18481.83582268343,18211.288188119306,18382.336979934735,0
2015-01-08,18701.18359375,18752.083394309797,18485.984916604837,18586.884137537254,0
2015-01-09,18637.033203125,18863.78056546701,18479.435427019544,18845.681166634808,0
2015-01-12,18795.630859375,18821.831726315322,18529.883952228673,18631.78315691577,0
2015-01-13,18706.982421875,18920.431120074147,18642.584730685543,18888.781096244074,0
2015-01-14,18603.583984375,18769.43166104402,18517.684594778577,18670.182817640463,0
2015-01-15,19235.427734375,19410.175711611075,19061.128970689133,19340.225349433967,0
2015-01-16,19222.927734375,19275.57751516559,19108.1282828296,19273.927143656594,0
2015-01-19,19405.826171875,19433.974283579555,19298.876237873494,19345.426480335773,0
2015-01-20,19766.8203125,19808.019050898503,19446.574046370977,19446.574046370977,0
2015-01-21,19843.01953125,19964.717336528578,19802.920387610546,19811.619505323764,0
2015-01-22,19917.41796875,19964.01703434758,19788.468301624434,19898.267801593614,0
2015-01-23,20072.466796875,20167.416869309953,19967.1184073436,20133.61647943935,0
2015-01-27,20555.01171875,20609.01109276941,20098.01701640054,20179.566852294873,0
2015-01-28,20491.51171875,20907.30766500397,20434.762378647807,20507.261535606554,0
2015-01-29,20528.361328125,20578.76113373844,20338.713138825613,20475.461551529766,0
2015-01-30,19843.51953125,20600.411131102745,19732.220042666555,20600.411131102745,0
2015-02-02,19865.669921875,19991.16846592145,19564.273027863288,19778.719758739975,0
2015-02-03,19382.724609375,19963.467879651205,19303.27631128156,19941.468134586932,0
2015-02-04,19173.77734375,19423.024449358098,19113.127657421886,19423.024449358098,0
2015-02-05,19051.6796875,19444.42513776215,18977.68054473896,19169.928317655314,0
2015-02-06,18786.48046875,19119.476591339226,18740.131399064114,19066.02799494531,72600
2015-02-09,18403.634765625,18666.832864929424,18379.385048715823,18649.78228272766,0
2015-02-10,18752.28125,18933.478355040945,18226.687771802954,18242.736412716586,0
2015-02-11,18940.580078125,19051.5787847242,18890.529880079688,18890.529880079688,0
2015-02-12,19128.376953125,19176.577563939998,18739.631478161802,19073.227204448674,0
2015-02-13,19369.474609375,19440.77456382724,19164.027772996564,19284.077162147976,0
2015-02-16,19189.7265625,19532.472585656247,19126.928463014323,19518.62313697485,0
