sector,period,n_flags,hit_rate,p_value
NIFTY_BANK,2016-2017,18,0.3888888888888889,0.480682373046875
NIFTY_BANK,2018-2019,31,0.41935483870967744,0.47312965989112854
NIFTY_BANK,2020-2021,26,0.23076923076923078,0.009355306625366211
NIFTY_BANK,2022-2022,10,0.7,0.34375
NIFTY_IT,2016-2017,18,0.3888888888888889,0.480682373046875
NIFTY_IT,2018-2019,31,0.6774193548387096,0.07075554598122835
NIFTY_IT,2020-2021,26,0.7307692307692307,0.028959274291992188
NIFTY_IT,2022-2022,10,0.2,0.109375
NIFTY_PHARMA,2016-2017,18,0.6666666666666666,0.237884521484375
NIFTY_PHARMA,2018-2019,31,0.3870967741935484,0.28104151505976915
NIFTY_PHARMA,2020-2021,26,0.6153846153846154,0.32693958282470703
NIFTY_PHARMA,2022-2022,10,0.3,0.34375
NIFTY_AUTO,2016-2017,18,0.5555555555555556,0.8145294189453125
NIFTY_AUTO,2018-2019,31,0.45161290322580644,0.720100131817162
NIFTY_AUTO,2020-2021,26,0.46153846153846156,0.8450189828872681
NIFTY_AUTO,2022-2022,10,0.7,0.34375
