signal,sector,n_flags,hit_rate,p_value
flow_div,NIFTY_BANK,165,0.509090909090909,0.8763306838960284
flow_div,NIFTY_IT,165,0.47878787878787876,0.6405622342031344
flow_div,NIFTY_PHARMA,165,0.48484848484848486,0.7556058753183409
flow_div,NIFTY_AUTO,165,0.5212121212121212,0.6405622342031344
pcr_dev,NIFTY_BANK,106,0.44339622641509435,0.28528442186565844
pcr_dev,NIFTY_IT,106,0.6037735849056604,0.04087197060775479
pcr_dev,NIFTY_PHARMA,106,0.46226415094339623,0.4967543930289459
pcr_dev,NIFTY_AUTO,106,0.49056603773584906,0.9226851594412756
vol_spread,NIFTY_BANK,61,0.39344262295081966,0.12373144253809215
vol_spread,NIFTY_IT,61,0.5081967213114754,1.0
vol_spread,NIFTY_PHARMA,61,0.4426229508196721,0.4426260049464714
vol_spread,NIFTY_AUTO,61,0.47540983606557374,0.7981526273057179
