pct_window,extreme,forward_days,sector,n_flags,hit_rate,p_value
126,0.85,3,NIFTY_BANK,150,0.4066666666666667,0.027152590737646
126,0.85,3,NIFTY_IT,150,0.5333333333333333,0.4625495178668307
126,0.85,3,NIFTY_PHARMA,150,0.5133333333333333,0.8065959963978476
126,0.85,3,NIFTY_AUTO,150,0.47333333333333333,0.567775487675328
126,0.85,5,NIFTY_BANK,125,0.52,0.7206725161126956
126,0.85,5,NIFTY_IT,125,0.512,0.8581193732635906
126,0.85,5,NIFTY_PHARMA,125,0.456,0.3711606948508093
126,0.85,5,NIFTY_AUTO,125,0.488,0.8581193732635906
126,0.87,3,NIFTY_BANK,127,0.41732283464566927,0.07553055923069625
126,0.87,3,NIFTY_IT,127,0.5118110236220472,0.8592278156599694
126,0.87,3,NIFTY_PHARMA,127,0.49606299212598426,1.0
126,0.87,3,NIFTY_AUTO,127,0.5196850393700787,0.7227870831457865
126,0.87,5,NIFTY_BANK,109,0.46788990825688076,0.5657001139736348
126,0.87,5,NIFTY_IT,109,0.5045871559633027,1.0
126,0.87,5,NIFTY_PHARMA,109,0.44954128440366975,0.33818541219666143
126,0.87,5,NIFTY_AUTO,109,0.47706422018348627,0.7018111820646833
126,0.9,3,NIFTY_BANK,91,0.4065934065934066,0.09294694311794119
126,0.9,3,NIFTY_IT,91,0.5714285714285714,0.20817442238117634
126,0.9,3,NIFTY_PHARMA,91,0.4175824175824176,0.14179337454474714
126,0.9,3,NIFTY_AUTO,91,0.5384615384615384,0.5296020954762447
126,0.9,5,NIFTY_BANK,81,0.4567901234567901,0.5052364407669357
126,0.9,5,NIFTY_IT,81,0.5679012345679012,0.2664123096713203
126,0.9,5,NIFTY_PHARMA,81,0.41975308641975306,0.18207674694084314
126,0.9,5,NIFTY_AUTO,81,0.48148148148148145,0.8243132151052082
126,0.93,3,NIFTY_BANK,63,0.36507936507936506,0.04295654552438921
126,0.93,3,NIFTY_IT,63,0.5873015873015873,0.20736789985685422
126,0.93,3,NIFTY_PHARMA,63,0.5714285714285714,0.31350305329645284
126,0.93,3,NIFTY_AUTO,63,0.49206349206349204,1.0
126,0.93,5,NIFTY_BANK,58,0.39655172413793105,0.14800580076020603
126,0.93,5,NIFTY_IT,58,0.5344827586206896,0.6940040940761318
126,0.93,5,NIFTY_PHARMA,58,0.41379310344827586,0.23704711476271959
126,0.93,5,NIFTY_AUTO,58,0.5,1.0
126,0.95,3,NIFTY_BANK,45,0.4,0.23269319190831084
126,0.95,3,NIFTY_IT,45,0.5333333333333333,0.765991824244793
126,0.95,3,NIFTY_PHARMA,45,0.5111111111111111,1.0
126,0.95,3,NIFTY_AUTO,45,0.4666666666666667,0.765991824244793
126,0.95,5,NIFTY_BANK,44,0.45454545454545453,0.651587827208914
126,0.95,5,NIFTY_IT,44,0.5,1.0
126,0.95,5,NIFTY_PHARMA,44,0.3409090909090909,0.048766765904474596
126,0.95,5,NIFTY_AUTO,44,0.45454545454545453,0.651587827208914
189,0.85,3,NIFTY_BANK,144,0.4236111111111111,0.07975707036384032
189,0.85,3,NIFTY_IT,144,0.4930555555555556,0.9336249535488026
189,0.85,3,NIFTY_PHARMA,144,0.4861111111111111,0.8026933550697278
189,0.85,3,NIFTY_AUTO,144,0.4791666666666667,0.6770697943668328
189,0.85,5,NIFTY_BANK,121,0.4793388429752066,0.7162941145766412
189,0.85,5,NIFTY_IT,121,0.48760330578512395,0.8558215992110801
189,0.85,5,NIFTY_PHARMA,121,0.4297520661157025,0.1454865204345048
189,0.85,5,NIFTY_AUTO,121,0.4380165289256198,0.20292429055143732
189,0.87,3,NIFTY_BANK,125,0.416,0.07321432008545252
189,0.87,3,NIFTY_IT,125,0.52,0.7206725161126956
189,0.87,3,NIFTY_PHARMA,125,0.48,0.7206725161126956
189,0.87,3,NIFTY_AUTO,125,0.464,0.4744215734409512
189,0.87,5,NIFTY_BANK,108,0.49074074074074076,0.9234010375945976
189,0.87,5,NIFTY_IT,108,0.5185185185185185,0.7729885295985346
189,0.87,5,NIFTY_PHARMA,108,0.46296296296296297,0.5007663934164354
189,0.87,5,NIFTY_AUTO,108,0.42592592592592593,0.1485763476105622
189,0.9,3,NIFTY_BANK,77,0.37662337662337664,0.03953953287797775
189,0.9,3,NIFTY_IT,77,0.5974025974025974,0.11001559898513334
189,0.9,3,NIFTY_PHARMA,77,0.4675324675324675,0.6487911623106449
189,0.9,3,NIFTY_AUTO,77,0.45454545454545453,0.49438227369550003
189,0.9,5,NIFTY_BANK,73,0.4931506849315068,1.0
189,0.9,5,NIFTY_IT,73,0.5616438356164384,0.34918183817058834
189,0.9,5,NIFTY_PHARMA,73,0.4520547945205479,0.48278855684402133
189,0.9,5,NIFTY_AUTO,73,0.410958904109589,0.15971168311801956
189,0.93,3,NIFTY_BANK,51,0.35294117647058826,0.04887389231827033
189,0.93,3,NIFTY_IT,51,0.5882352941176471,0.2624375357110438
189,0.93,3,NIFTY_PHARMA,51,0.5098039215686274,1.0
189,0.93,3,NIFTY_AUTO,51,0.49019607843137253,1.0
189,0.93,5,NIFTY_BANK,48,0.375,0.11140289106101878
189,0.93,5,NIFTY_IT,48,0.6041666666666666,0.19341265286193737
189,0.93,5,NIFTY_PHARMA,48,0.4166666666666667,0.31232680747326935
189,0.93,5,NIFTY_AUTO,48,0.5208333333333334,0.8854334972865135
189,0.95,3,NIFTY_BANK,28,0.2857142857142857,0.03569813817739487
189,0.95,3,NIFTY_IT,28,0.5357142857142857,0.8505540192127228
189,0.95,3,NIFTY_PHARMA,28,0.4642857142857143,0.8505540192127228
189,0.95,3,NIFTY_AUTO,28,0.5357142857142857,0.8505540192127228
189,0.95,5,NIFTY_BANK,28,0.42857142857142855,0.5715881884098053
189,0.95,5,NIFTY_IT,28,0.6071428571428571,0.34492845088243484
189,0.95,5,NIFTY_PHARMA,28,0.39285714285714285,0.34492845088243484
189,0.95,5,NIFTY_AUTO,28,0.5714285714285714,0.5715881884098053
252,0.85,3,NIFTY_BANK,137,0.41605839416058393,0.059767981949706145
252,0.85,3,NIFTY_IT,137,0.4744525547445255,0.6083841068999594
252,0.85,3,NIFTY_PHARMA,137,0.4744525547445255,0.6083841068999594
252,0.85,3,NIFTY_AUTO,137,0.5109489051094891,0.8644049750099482
252,0.85,5,NIFTY_BANK,111,0.45045045045045046,0.3425805825718988
252,0.85,5,NIFTY_IT,111,0.4954954954954955,1.0
252,0.85,5,NIFTY_PHARMA,111,0.45045045045045046,0.3425805825718988
252,0.85,5,NIFTY_AUTO,111,0.46846846846846846,0.5692202278035751
252,0.87,3,NIFTY_BANK,120,0.375,0.007846593122439722
252,0.87,3,NIFTY_IT,120,0.5166666666666667,0.7843281773322766
252,0.87,3,NIFTY_PHARMA,120,0.5,1.0
252,0.87,3,NIFTY_AUTO,120,0.5083333333333333,0.927315021089884
252,0.87,5,NIFTY_BANK,101,0.43564356435643564,0.2323004642847388
252,0.87,5,NIFTY_IT,101,0.5148514851485149,0.8423820985077438
252,0.87,5,NIFTY_PHARMA,101,0.4752475247524752,0.6908264239959598
252,0.87,5,NIFTY_AUTO,101,0.49504950495049505,1.0
252,0.9,3,NIFTY_BANK,86,0.38372093023255816,0.03985362856053515
