mean_return_flagged,mean_return_unconditional,sharpe_like_flagged,sharpe_like_unconditional,n_flagged_days,sector,forward_days
-0.0007562383587085916,0.0006677467722761062,-0.029364707025457,0.039717793011342754,171,NIFTY_BANK,1
-0.00031640017566825706,0.0006592272540684856,-0.02428693755019939,0.06785399437408866,170,NIFTY_BANK,3
-0.0006155266369454689,0.0006473255957586541,-0.06270051598398184,0.0859561189870668,170,NIFTY_BANK,5
-0.00015826646497969326,0.0006204781987603751,-0.028983072522595636,0.1150893591834539,170,NIFTY_BANK,10
0.0009486979992620269,0.000749611570961655,0.04515790092185352,0.04994182431387342,171,NIFTY_IT,1
0.0016093474316790431,0.0007291399408309086,0.18835752336823944,0.08880821150104602,170,NIFTY_IT,3
0.001429363812746836,0.0007074523905899202,0.22916092141995287,0.11116624615887674,170,NIFTY_IT,5
0.0011936776516388958,0.0006821896113597644,0.2564291568174943,0.14828058312490364,170,NIFTY_IT,10
0.001171358826969418,0.0002329780947737935,0.06580601225044558,0.015877274370419612,171,NIFTY_PHARMA,1
0.0015193803716968513,0.00023197083858504208,0.1343342215550415,0.026383872395237276,170,NIFTY_PHARMA,3
0.000948826054449254,0.00023293629295353103,0.10468907625467258,0.033500897926179336,170,NIFTY_PHARMA,5
0.0010288428220407784,0.00022386589578391933,0.14918302483671297,0.044811515097978906,170,NIFTY_PHARMA,10
0.0005906204324877967,0.00041467863552133107,0.023885350617482835,0.025282098811053533,171,NIFTY_AUTO,1
0.0006651791091653946,0.00042090160636216534,0.05380105576791085,0.04440345735868313,170,NIFTY_AUTO,3
0.0006444772511534092,0.00041926024837073665,0.07104912629480904,0.0577000083369356,170,NIFTY_AUTO,5
0.0004448664130137692,0.00040498837683346646,0.07667588257520884,0.0774414127476262,170,NIFTY_AUTO,10
